epoch,train_loss,train_mse,train_distance_stratified_mse,train_stratum_adjusted_corr,val_loss,val_mse,val_distance_stratified_mse,val_stratum_adjusted_corr,epoch_seconds,lr_at_epoch_end
1,0.36047394034408387,0.36047394040728076,0.3604739411061053,0.18681484689192496,7.5384486142326805,7.538448582852588,7.538448582164504,0.047018674332640106,530.6863961219788,0.0005300000000000001
2,0.26477551275775546,0.2647755114128813,0.2647755115946694,0.3756163935496142,1.5370899263550253,1.5370898992699735,1.5370899059064684,0.14689250423373013,48.27711009979248,0.001
3,0.25186232044583273,0.25186232075308607,0.2518623206405443,0.3928350191343488,0.4627177285797456,0.4627177147509749,0.4627177162310931,0.253015016406382,48.230660915374756,0.001
4,0.24459689401444934,0.24459689578119045,0.24459689544678054,0.39278212057938183,0.5058387588052189,0.5058387496015605,0.5058387510538416,0.22688915179865984,36.404897689819336,0.001
5,0.2275274205775488,0.22752742180053334,0.22752742105308796,0.38865489029487466,0.4374508358099881,0.4374508404008606,0.4374508407359999,0.25314646988943207,42.42218804359436,0.001
6,0.21752340438820067,0.2175234048204272,0.2175234045515459,0.3964474800141914,0.4219074538525413,0.42190745827837794,0.4219074606321073,0.28161091855695425,32.79358410835266,0.001
7,0.2078794124580565,0.2078794126873531,0.20787941276296418,0.40190932985369887,0.26159726609201994,0.2615972667356426,0.26159726746527984,0.3179263492051286,30.12974786758423,0.001
8,0.2051916349501837,0.2051916357241377,0.20519163514773628,0.4072763295632534,0.270269009996863,0.2702690064133254,0.27026900624537925,0.3134899703611745,29.959595918655396,0.001
9,0.19928348717235383,0.1992834878436822,0.1992834882728857,0.41359716352079157,0.2591035015442792,0.259103494612774,0.25910349326990184,0.34050743300678327,29.392473936080933,0.001
10,0.19763224735146478,0.19763224740991497,0.1976322468676049,0.4180990270266414,0.23944841763552496,0.23944841586053373,0.23944841601293507,0.36153839751110217,32.718666076660156,0.001
11,0.1982318794443494,0.19823187964849195,0.19823188001758654,nan,0.28859808427446026,0.28859808292952094,0.28859808345063365,0.3405249580510616,35.70039510726929,0.001
12,0.19537306967235746,0.1953730701105087,0.19537307054201805,0.42217846559078853,0.21950547660098357,0.2195054766272626,0.21950547622487543,0.38188502399682184,33.97387099266052,0.001
13,0.19336081047852835,0.1933608120754971,0.19336081179369227,0.42463928171211024,0.2093945794245776,0.20939457588520943,0.20939457531017122,0.3783874051135705,32.972283363342285,0.001
14,0.1935019857826687,0.19350198590060852,0.19350198575778488,0.4249349817627576,0.251412041923579,0.2514120467472822,0.2514120480490537,0.3632856526821919,34.581401109695435,0.001
15,0.19440948367118835,0.1944094848188494,0.19440948481496192,0.4244099837286311,0.21886458028765285,0.21886457753545768,0.21886457763914435,0.3830408265995388,54.83760094642639,0.001
16,0.19211542776652746,0.19211542731560863,0.19211542715696076,0.4269094487627511,0.21632791880299063,0.21632791578167063,0.21632791548323657,0.3937969443627058,30.32809281349182,0.001
17,0.19161297047422046,0.19161296931876373,0.19161296883211137,0.4277661755714352,0.2381262332201004,0.2381262289292542,0.23812622995327246,0.3872681028502253,61.569653034210205,0.001
18,0.1920638823793048,0.19206388258895632,0.19206388280476988,0.4271782570511091,0.2417748675626867,0.24177486695116385,0.24177486617603683,0.385856198567986,35.06311297416687,0.001
19,0.1919886255548114,0.19198862388134114,0.1919886244079429,0.42697655022060665,0.22834525651791515,0.2283452590870558,0.22834526105095873,0.37689995313308183,30.28042483329773,0.001
20,0.1932797045934768,0.1932797045830479,0.19327970472665704,0.42696283894075787,0.22087228210533366,0.22087228655068697,0.22087228505029888,0.38689762800279537,38.1448700428009,0.001
21,0.19156900474003383,0.19156900621729575,0.19156900598844964,0.4261473028507288,0.21752313831273248,0.21752313632678125,0.21752313544325313,0.3890906787945147,34.92166090011597,0.001
22,0.19097422957420349,0.1909742292932649,0.1909742293219789,0.4279640184022127,0.21881852167494156,0.21881852343264172,0.2188185260777348,0.3948134956159319,36.69824171066284,0.001
23,0.19166136029220762,0.1916613592613257,0.1916613594730873,0.42788206973980264,0.21486114754396327,0.21486114374197582,0.2148611442500688,0.39428029017046073,33.80101490020752,0.001
24,0.19197147360869815,0.1919714725711986,0.19197147257590025,0.42869239174372087,0.2641962749116561,0.2641962757231608,0.26419627491694936,0.39091376763261226,30.45159411430359,0.001
25,0.19050929219949814,0.19050929189993657,0.19050929152937554,0.42931671876497873,0.23104644522947423,0.2310464459733125,0.2310464458940602,0.39954568465921225,30.851574897766113,0.001
26,0.19138741663524084,0.19138741585219188,0.19138741643047116,nan,0.24324790958096,0.2432479114655186,0.24324791044506988,0.3932932946853159,30.25469708442688,0.001
27,0.19194040695826212,0.19194040851232871,0.19194040878978869,0.4296527315793273,0.227701237096506,0.22770123782273216,0.22770123624381516,0.397276631202882,31.10486602783203,0.001
28,0.189667500768389,0.18966750105651695,0.18966750132816312,0.430524271452674,0.22476017299820394,0.22476017394112524,0.2247601736312658,0.4019505486985643,29.57845687866211,0.001
29,0.19035872135843548,0.19035872149005237,0.19035872129507064,0.4316160753144764,0.23760575844961054,0.23760575834141276,0.23760575836632652,0.40152321839231747,31.852564096450806,0.001
30,0.1903690558104288,0.19036905563452386,0.19036905578914842,0.43056465800730553,0.20687057165538564,0.20687057157457972,0.20687057112436694,0.4043019926129534,31.108707189559937,0.001
31,0.18934498954386939,0.18934498869966773,0.18934498940094013,0.43059221592280816,0.22273800127646504,0.22273799541366957,0.22273799592922683,0.4060606878410972,31.600092887878418,0.001
32,0.1905488481124242,0.1905488469229524,0.19054884646350642,0.4307371102345842,0.2180209764662911,0.2180209730870903,0.21802097493698805,0.40144433382299877,39.64930987358093,0.001
33,0.18946492416518076,0.1894649244421782,0.1894649245171925,0.43150509237300055,0.22382824561175177,0.2238282468279495,0.22382824742924323,0.40424598313751814,31.477071046829224,0.001
34,0.19007190863291423,0.190071909544072,0.19007190972902527,0.43082274524153086,0.21468712389469147,0.21468712750562083,0.21468712758738545,0.41253909780445597,37.789411783218384,0.001
35,0.1894783357779185,0.18947833572684822,0.18947833557400728,0.4319939587811524,0.21888022212421193,0.21888022522616665,0.218880224184104,0.4091897048657954,29.574599027633667,0.001
36,0.1876665806486493,0.1876665807159346,0.18766658078741397,0.4338406878044322,0.20650925531106837,0.206509258122798,0.20650925684526397,0.41209346912195555,30.659217357635498,0.001
37,0.18747157568023318,0.1874715764780506,0.18747157627525757,0.43479022640834514,0.19973033228341272,0.19973033247061883,0.19973033261091427,0.4200925322243142,38.29578900337219,0.001
38,0.1899024249542327,0.18990242295473025,0.18990242322859732,0.43132693247224946,0.21026463368359735,0.2102646334136165,0.21026463280419086,0.41603092022957,47.97906422615051,0.001
39,0.18733404122647784,0.18733404207012513,0.187334042246445,0.4349650148864386,0.22068877255215363,0.220688776437087,0.22068877651487978,0.41285860405846914,32.16436719894409,0.001
40,0.18811857714539482,0.188118577446862,0.1881185774487642,0.4333488859081455,0.213417888564222,0.2134178844983313,0.21341788432288222,0.41757144087228726,31.879696130752563,0.001
