epoch,train_loss,train_mse,train_distance_stratified_mse,train_stratum_adjusted_corr,val_loss,val_mse,val_distance_stratified_mse,val_stratum_adjusted_corr,epoch_seconds,lr_at_epoch_end
1,0.32257819246678127,0.3225781920753347,0.322578192433324,0.16415681779986424,0.2302397147697561,0.23023971409043845,0.23023971380111213,0.2908087121918837,47.87374496459961,0.001
2,0.22459073960781098,0.22459073825420567,0.2245907389207942,0.34451830760585705,0.20503920667311726,0.2050392069045783,0.20503920763220834,0.39552230228233304,50.04000806808472,0.001
3,0.209861393060003,0.20986139474539198,0.20986139415457372,nan,0.20036006675047033,0.20036006766330341,0.200360068008569,0.4090165889611996,56.31232166290283,0.001
4,0.20421089004902612,0.20421089008055526,0.2042108897494567,0.4070137423347277,0.1939122273641474,0.19391222682452816,0.19391222816208883,0.42182741723584816,7235.405316114426,0.001
5,0.19855721564519974,0.1985572142890998,0.1985572146312179,0.41492612728538064,0.19061881128479452,0.19061881051029025,0.19061881015689483,0.43086731772880055,1050.626876115799,0.001
6,0.19652854942140124,0.19652854961244712,0.19652854954001675,0.419793798419945,0.19364030133275426,0.19364030548193328,0.19364030595319276,0.42934109113856295,1024.6539483070374,0.001
7,0.19597530364990234,0.19597530213581021,0.1959753023221389,0.4247111318970778,0.1909494531505248,0.19094945279032213,0.19094945431710908,0.4325625506284461,1632.4905989170074,0.001
8,0.19539576584384555,0.19539576633802166,0.19539576671046238,0.4274823900194207,0.18930915261016174,0.18930915471847745,0.18930915421148872,0.43803226143564505,124.43141889572144,0.001
9,0.19185876505715507,0.19185876636821333,0.19185876622970166,0.4331635570733956,0.18777911189724417,0.1877791142282898,0.18777911473250508,0.44394164184977597,3190.0964119434357,0.001
10,0.1907512359675907,0.19075123695918245,0.19075123642605404,0.4370760165725848,0.18707936125643113,0.1870793617390411,0.187079362373312,0.4422321045227291,3974.1218860149384,0.001
11,0.190327154312815,0.1903271541137309,0.19032715394746835,0.4391560782481123,0.19083348617834203,0.1908334878656794,0.19083348674679118,0.4394862405605846,1464.6981461048126,0.001
12,0.19162096352804275,0.19162096123395064,0.1916209610510054,0.4383231619789209,0.19612783719511592,0.19612783923580804,0.19612784022723856,0.4333401691615966,226.28377509117126,0.001
13,0.191172466249693,0.19117246596364393,0.1911724659637635,0.43994745294153725,0.19712497381603017,0.19712497491581255,0.19712497396897932,0.438672429337223,193.68993592262268,0.001
14,0.18875668744246166,0.18875668745398191,0.18875668717957692,0.44356742848351716,0.186588597648284,0.18658859390304905,0.18658859418182525,0.4448638488971631,119.17331194877625,0.001
15,0.1881849670693988,0.1881849667164109,0.1881849666551743,0.44385013718361965,0.18706182346624486,0.18706182251061204,0.18706182145160066,0.44741387015582507,165.8629069328308,0.001
16,0.1902042933872768,0.19020429244875187,0.19020429205996753,nan,0.1857894010403577,0.18578940398930333,0.18578940250067827,0.4494050000245554,166.08246874809265,0.001
17,0.1895427956467583,0.18954279562222792,0.18954279576627023,nan,0.19304372983820298,0.19304373156423132,0.1930437312097381,0.4415218276565813,291.4862070083618,0.001
18,0.19074306857018244,0.19074306957341572,0.1907430699376614,0.4424271099087792,0.19986478809048147,0.1998647856306942,0.19986478617003953,0.4331411923562596,197.42359280586243,0.001
19,0.18759010888281322,0.18759010840052118,0.18759010831796072,0.4478777798357695,0.18778492597972646,0.18778492398303248,0.18778492492786267,0.45265037159590205,177.75432682037354,0.001
20,0.1850794792175293,0.18507947864375074,0.18507947885073658,0.45096020378543106,0.18517872165231145,0.18517871931792743,0.1851787197661949,0.45206097219634916,84.86396074295044,0.001
21,0.18484449826535723,0.18484449801644154,0.1848444980496827,0.45143370421010076,0.18468641270609462,0.18468641280115286,0.18468641256920387,0.451511666787392,48.16569399833679,0.001
22,0.18555920081479207,0.18555920199207668,0.185559201680974,0.4503126791035027,0.18742095722871668,0.1874209567258624,0.18742095817820775,0.451689660599145,47.70488667488098,0.001
23,0.18527286081087022,0.1852728602235272,0.18527286058607695,0.45283392952618984,0.19399699218132915,0.19399699261548986,0.1939969927591857,0.4435970476590395,47.26396107673645,0.001
24,0.1859366625547409,0.18593666254750393,0.18593666241400197,0.4517100267303118,0.19453239528571858,0.19453239433796088,0.19453239364594027,0.44200121580194673,47.51081204414368,0.001
25,0.1873787337825412,0.1873787334448328,0.18737873315758666,0.4512372138724786,0.1946761231212055,0.19467612764085918,0.19467612615138083,0.44193199025306845,49.15296530723572,0.001
26,0.1838784769887016,0.18387847785798797,0.1838784775170211,0.4548256535098314,0.1884132106514538,0.18841320863027836,0.1884132081432343,0.4488987323718146,53.38350296020508,0.001
27,0.18568432174977803,0.18568432070737584,0.1856843214631278,0.4530155422270188,0.18717164590078242,0.18717164608358014,0.1871716443626835,0.4522610781123064,47.38607692718506,0.001
28,0.18378887332621074,0.18378887454476042,0.18378887423171583,0.4564578352138627,0.18653540050282197,0.18653540116159575,0.18653540110972244,0.4515863298489841,67.06189227104187,0.001
29,0.1844059734117417,0.1844059733827938,0.18440597301678194,0.4554142442911481,0.1973945875378216,0.19739458593813813,0.19739458635021417,0.42483306915647684,73.78630518913269,0.001
30,0.18511378907022022,0.18511378750167967,0.185113787964435,0.45718611078446064,0.1860865170464796,0.18608651597271947,0.1860865177849979,0.45149925557537696,1028.8347420692444,0.001
31,0.1837889525152388,0.18378895276983237,0.1837889530466206,0.4557219688908035,0.18777268862023072,0.1877726920572219,0.18777269254024276,0.44749249606725655,4318.3398468494415,0.001
32,0.18442789642583757,0.18442789659504688,0.184427896860976,0.45745644660476953,0.19092504066579483,0.1909250395873267,0.19092504036812363,0.4394313410052262,161.2411241531372,0.001
33,0.1879134477604003,0.18791344696690518,0.18791344768217158,0.4507504099100599,0.1883672379395541,0.18836724128195784,0.18836724144532022,0.4523025856462027,166.4359211921692,0.001
34,0.18310737226690565,0.18310737143813943,0.18310737130982574,0.4570687944131603,0.1921211936894585,0.19212118817411142,0.1921211873559129,0.43891959507120004,594.9660837650299,0.001
35,0.1820492426554362,0.1820492427808512,0.18204924292729233,0.46083595812564937,0.18742625064709606,0.18742625265573115,0.18742625296807516,0.4496950851498481,128.12254285812378,0.001
36,0.18285323395615533,0.18285323380976998,0.18285323365425235,0.46009927726105004,0.1835539963315515,0.18355399498001027,0.1835539945343092,0.45472875971205035,159.69344305992126,0.001
37,0.1817885005757922,0.18178850143867747,0.18178850092738155,0.4613423513694334,0.2070111220373827,0.20701112048152615,0.2070111189501853,0.4152168233671724,505.65560507774353,0.001
38,0.1825321878705706,0.18253218750131575,0.18253218767795398,0.459414010725599,0.19395692909465118,0.19395693050250618,0.19395693035130537,0.44741113520212794,73.15040302276611,0.001
39,0.18187346202986582,0.1818734624821099,0.18187346269172672,0.4616597034142756,0.19647315407500549,0.19647315734011284,0.19647315630829648,0.4330513622743354,290.92772006988525,0.001
40,0.18125719953150976,0.18125719915343716,0.18125719905830265,0.46270160877459365,0.18559536863775813,0.18559536513725214,0.18559536599384208,0.45380391481036875,909.9259581565857,0.001
