epoch,train_huber,train_mse,train_corr,test_huber,test_mse,test_corr,epoch_seconds,lr
1,0.3696034550666809,1.0964519551822118,-0.010135649328135623,0.41653749346733093,2.1003382205963135,-0.006819266603700887,2.089709758758545,0.001
2,0.24979510690484727,0.6381813245160239,0.010248776389373635,0.5911043882369995,5.94849157333374,0.03656382941285871,1.5284819602966309,0.001
3,0.246351529444967,0.643277108669281,0.05050852921164339,0.33510853350162506,0.8878117203712463,0.0579974476550118,1.487229824066162,0.001
4,0.2441830337047577,0.6378358347075326,0.07336516031022614,0.3163883313536644,0.8418543040752411,0.07821016907115816,1.4829316139221191,0.001
5,0.2348817821059908,0.6081702496324267,0.09627949148695204,0.29575303196907043,0.7748677730560303,0.08761510518873938,1.4725492000579834,0.001
6,0.23284866767270224,0.604086092540196,0.10939527001658343,0.2890140488743782,0.7526684701442719,0.10093713128035584,1.4708211421966553,0.001
7,0.23389665995325362,0.6004441635949271,0.12003052281823882,0.3061642274260521,0.894042044878006,0.14068377191069398,1.4913101196289062,0.001
8,0.2316217805658068,0.5983752267701286,0.1374975101994443,0.2704799473285675,0.6808622479438782,0.14808131561705346,1.47922945022583,0.001
9,0.22158479264804296,0.5575594433716365,0.1571461712434997,0.25970858335494995,0.6398113965988159,0.1534764525826235,1.4763247966766357,0.001
10,0.21796847879886627,0.5405102074146271,0.16859799505391365,0.26466476917266846,0.6348165273666382,0.19418138781734862,1.4837992191314697,0.001
11,0.20861064961978368,0.49934149214199613,0.19418637056239144,0.2602410688996315,0.606127455830574,0.18781564401891276,1.4746811389923096,0.001
12,0.20949642147336686,0.5102588108607701,0.20355377153503887,0.24868521839380264,0.5959298610687256,0.21300594583893212,1.4843976497650146,0.001
13,0.18768103420734406,0.4346788781029837,0.25695286513968174,0.2371530383825302,0.5472748726606369,0.2128155338410109,1.4803283214569092,0.001
14,0.18291154503822327,0.41413228852408274,0.3102018083595706,0.24608507752418518,0.5834213644266129,0.2766370615928676,1.4930167198181152,0.001
15,0.1694567927292415,0.37580467973436626,0.3492237744011582,0.2723276764154434,0.8521577417850494,0.3072258343449762,1.4950900077819824,0.001
16,0.16511924990585872,0.3652741866452353,0.397982444827954,0.21743667870759964,0.47992393374443054,0.39091545454775,1.4579153060913086,0.001
17,0.1592458529131753,0.34743930612291607,0.44080766902209517,0.22779197990894318,0.5469702035188675,0.4085330746456465,1.487732172012329,0.001
18,0.1574159860610962,0.3417517627988543,0.4694898816248105,0.19715332984924316,0.43199464678764343,0.4440922887085505,1.488968849182129,0.001
19,0.14484596039567674,0.31033343928200857,0.48715321754859925,0.19216057658195496,0.42392924427986145,0.454993259045251,1.4957873821258545,0.001
20,0.14587769018752234,0.3120777202504022,0.4971264780781043,0.23622987419366837,0.5937361866235733,0.4252445242744234,1.483769178390503,0.001
21,0.13982704068933213,0.3019119437251772,0.5008297669096466,0.1988023966550827,0.4443352520465851,0.4386624050383613,1.4694390296936035,0.001
22,0.14313084951468877,0.3066119594233377,0.5106334146410018,0.19262702390551567,0.4225247949361801,0.45896536764466556,1.4968845844268799,0.001
23,0.13924128242901393,0.2959189989737102,0.5240783694807601,0.19145014137029648,0.4099888950586319,0.4404612566282257,1.474576473236084,0.001
24,0.13440309997115815,0.2861952121768679,0.5296232178380277,0.203883558511734,0.5337538421154022,0.45446877905632765,1.5018672943115234,0.001
25,0.13440762566668646,0.28421086072921753,0.5344970590339372,0.18215803056955338,0.3969919830560684,0.4790906571648394,1.4669203758239746,0.001
26,0.1321288517543248,0.2785992941686085,0.5456908870438745,0.17603164538741112,0.38616661727428436,0.4650171760268994,1.499985694885254,0.001
27,0.12638302786009653,0.26712594500609804,0.5472522456425344,0.18668491393327713,0.44287900626659393,0.4743347425522614,1.4911165237426758,0.001
28,0.12679316103458405,0.26694522372313906,0.5546486580505994,0.1745135858654976,0.3792591840028763,0.4855114388829862,1.4824490547180176,0.001
29,0.1269949781043189,0.26769235943044933,0.5604097049194021,0.1877771131694317,0.4177912324666977,0.4735891535548971,1.4752976894378662,0.001
30,0.12244104806865964,0.25925580518586294,0.5664414215131987,0.17735865712165833,0.3864356800913811,0.5015528334192914,1.467846393585205,0.001
31,0.12466110927718026,0.26123946479388643,0.5643727147137059,0.18710367381572723,0.4196022003889084,0.49470584589929056,1.4727427959442139,0.001
32,0.12327665835618973,0.2602247936385019,0.5659137802680191,0.1960480660200119,0.47197161614894867,0.47580053250850585,1.4664618968963623,0.001
33,0.12431736503328596,0.2613811365195683,0.5713685489873914,0.18716473877429962,0.4195316880941391,0.48134132833786636,1.4800522327423096,0.001
34,0.12747733614274434,0.2695062501089914,0.5677670233889675,0.24535463750362396,0.6473727524280548,0.4536880304432114,1.4635801315307617,0.001
35,0.1249834384237017,0.26296261165823254,0.5667478273397308,0.18512128293514252,0.41096577793359756,0.47801282846928717,1.4630589485168457,0.001
36,0.121814597930227,0.2552837133407593,0.5696326281183474,0.1734040230512619,0.3762889504432678,0.4955192106411943,1.4679944515228271,0.001
37,0.12398087339741844,0.26027992580618176,0.5755330869493245,0.17439861968159676,0.3822594955563545,0.5089227228092168,1.493765115737915,0.001
