epoch,train_loss,train_mse,train_distance_stratified_mse,train_stratum_adjusted_corr,val_loss,val_mse,val_distance_stratified_mse,val_stratum_adjusted_corr,epoch_seconds,lr_at_epoch_end
1,0.40807271486236935,0.4080727142191747,0.40807271271637763,0.13806319272481285,0.28838275110020356,0.2883827485061963,0.2883827477641,0.2836171758899746,560.9891278743744,0.001
2,0.22555511097113293,0.22555511019253616,0.22555511057389344,0.3561234401685272,0.20334375430555904,0.2033437485464246,0.20334374946227077,0.41143815164816283,624.5990488529205,0.001
3,0.21094588906992048,0.21094588855159513,0.21094588795055247,0.39443990367596266,0.20358713672441595,0.20358713688054944,0.2035871355111628,0.4123274991295885,273.9650230407715,0.001
4,0.20118158615770795,0.20118158828499005,0.20118158797781296,0.4123613625184743,0.19897671219180613,0.19897671494194688,0.19897671573822773,0.43080394216740064,611.5589029788971,0.001
5,0.2001106851157688,0.20011068582832758,0.2001106852711339,0.41817127316580177,0.2104295781430076,0.21042957877028076,0.21042957835378778,0.4078130608206926,534.4427609443665,0.001
6,0.19887697341896238,0.1988769729687192,0.19887697379204156,0.4215636415229824,0.1991193075390423,0.199119304397883,0.19911930547566636,0.42147856591651917,500.45298409461975,0.001
7,0.19560331248101734,0.19560331341989304,0.19560331291632752,0.42708737230364674,0.18893003639052897,0.18893003819154247,0.18893003772067674,0.4418533475970121,326.4204857349396,0.001
8,0.1985563411599114,0.19855634062923422,0.19855634111069384,nan,0.19857226049198823,0.1985722614548114,0.19857226175503453,0.4409478713305879,452.2664461135864,0.001
9,0.1972034819069363,0.1972034816663966,0.19720348127162388,0.42999888734485175,0.19670049495556774,0.19670049916843282,0.1967004968283821,0.43444638081525117,561.0856499671936,0.001
10,0.19417843690940312,0.19417843757823686,0.19417843713844507,0.4323029245594063,0.18912656780551462,0.1891265644459054,0.1891265645082989,0.44415386195047946,342.7914659976959,0.001
11,0.19253268369606563,0.19253268343799435,0.192532683106254,0.4358290706195649,0.1884561382672366,0.1884561420251831,0.1884561419036639,0.4463573312781076,349.0540511608124,0.001
12,0.1926291890087582,0.19262918882180072,0.19262918848423788,0.43805732922566426,0.18650750114637263,0.18650750071679154,0.18650750223896462,0.4505930649470417,729.8426632881165,0.001
13,0.191175653111367,0.19117565297776656,0.191175652863592,0.43906495234805254,0.19306994273382075,0.19306994254892582,0.19306994309249975,0.440200504768606,836.5839660167694,0.001
14,0.19107839252267564,0.1910783916518128,0.19107839216821257,0.43936254184139967,0.2120562195777893,0.21205622088164092,0.21205621946390774,0.42016218546133477,1953.3508522510529,0.001
15,0.18811995372885748,0.18811995240123777,0.18811995281318084,0.4437123546914738,0.19674562794320724,0.1967456305618672,0.1967456306968405,0.4363724616732462,815.2345468997955,0.001
16,0.18986791982537224,0.1898679209503739,0.18986792067868868,0.4437103148227824,0.18791808801538804,0.18791808552367217,0.18791808553664477,0.45015968404912887,744.5546569824219,0.001
17,0.18755032193093074,0.18755032100714397,0.18755032194668403,0.44446711691449164,0.18735023544115179,0.18735023548086996,0.18735023551475025,0.4537076673790238,251.280198097229,0.001
18,0.18825828915550596,0.18825828924210716,0.18825828894254307,0.4459721573739966,0.18986389917485855,0.18986389811616391,0.1898638984524844,0.44591558648611374,851.2754142284393,0.001
19,0.18718153067997523,0.18718152945312752,0.18718152949719905,0.4475173083851831,0.18882947195978725,0.18882947246174273,0.18882947196518002,0.44891482440246644,1458.569277048111,0.001
20,0.18619321868533178,0.18619321762917457,0.18619321759059904,0.4492610983173787,0.20056034010999343,0.20056034201098716,0.2005603437315371,0.4393791061806177,1358.2487680912018,0.001
21,0.1912199502899533,0.19121995110534565,0.19121995101145284,nan,0.19042426347732544,0.19042426227139966,0.19042426279859845,0.44204854872148397,614.8773949146271,0.001
22,0.1886026477529889,0.1886026481763024,0.1886026484037968,0.44620195854949996,0.189948831410969,0.18994882763637339,0.18994882823122144,0.4473075750895583,411.88478899002075,0.001
23,0.18751483119669415,0.1875148314366795,0.18751483222987841,0.44690669077546896,0.18574282965239355,0.18574282656550434,0.18574282660273156,0.4535049822977556,537.4123420715332,0.001
