model,best_epoch,best_val_loss,val_mse,val_distance_stratified_mse,val_stratum_adjusted_corr,total_epochs_trained,total_train_time_min
CNN,36,0.1835539963315515,0.1835539949800102,0.1835539945343092,0.4547287597120503,40,504.9
UNet,38,0.1839990983991062,0.1839991015736493,0.1839991020038231,0.4578134326628504,40,512.0
Transformer,37,0.1997303322834127,0.1997303324706188,0.1997303326109142,0.4200925322243142,40,32.0
