epoch,train_huber,train_mse,train_corr,test_huber,test_mse,test_corr,epoch_seconds,lr
1,0.26687876667295185,0.7332625644547599,-0.008007267318139106,0.33447738736867905,0.9267062842845917,-0.013270870907688921,3.6954760551452637,0.001
2,0.25555842901979176,0.6841600111552647,-0.002251082473476727,0.3325161635875702,0.9132670760154724,0.014016697602945896,1.6110095977783203,0.001
3,0.2647984262023653,0.6940993326050895,0.015249733440090032,0.3167366161942482,0.8601983189582825,0.014300745394632934,1.4548835754394531,0.001
4,0.24556933556284224,0.6393099001475743,0.035299501668767816,0.30821168422698975,0.8341470658779144,0.047786832780121614,1.6655058860778809,0.001
5,0.23110851432595933,0.587267313684736,0.06412010651478049,0.2914871647953987,0.7631027102470398,0.06966139941477123,1.384369134902954,0.001
6,0.22949254512786865,0.5875682490212577,0.07899601567867798,0.2877774015069008,0.7552619278430939,0.09647315311466598,1.362180233001709,0.001
7,0.2156473057610648,0.5353713376181466,0.1038420374992718,0.2741168290376663,0.7016102522611618,0.11473493323462017,1.3661608695983887,0.001
8,0.21573408799512045,0.5234797980104174,0.14017205060523028,0.2786457985639572,0.710703507065773,0.11563372587698895,1.3193938732147217,0.001
9,0.22383808025291987,0.5714469254016876,0.12898484815262762,0.2764836475253105,0.7113529294729233,0.12893015236159108,1.3301665782928467,0.001
10,0.21366092562675476,0.519419959613255,0.1327985315855231,0.2510295435786247,0.608162596821785,0.1360096016420453,1.323143482208252,0.001
11,0.1994679868221283,0.4755328467914036,0.16554402136754792,0.24876485764980316,0.6038926839828491,0.16668142879443273,1.3230762481689453,0.001
12,0.1933343325342451,0.4524654873779842,0.19092689656238004,0.24108552187681198,0.5715472549200058,0.19420364180318783,1.3417000770568848,0.001
13,0.18710275845868246,0.43701741099357605,0.23727815752047182,0.23466777801513672,0.5627815425395966,0.206127618917551,1.3350040912628174,0.001
14,0.17709525568144663,0.40664061478206087,0.2559957985475379,0.22725839167833328,0.5410832166671753,0.23820226227717112,1.3471009731292725,0.001
15,0.1839124028171812,0.43333762884140015,0.2911328011335429,0.21909882128238678,0.5139238238334656,0.2611099355671408,1.3208141326904297,0.001
16,0.1975845226219722,0.4819772243499756,0.24358812088966988,0.24857550859451294,0.6164626330137253,0.22451657901359912,1.3659758567810059,0.001
17,0.18261880321162088,0.43826799733298166,0.2827287022846173,0.23715296387672424,0.5748659819364548,0.28140518416415294,1.3852605819702148,0.001
18,0.1698009648493358,0.3895447381905147,0.3109929771374298,0.2210100218653679,0.5145653784275055,0.27149556858925794,1.341761589050293,0.001
19,0.16671032777854375,0.377650831426893,0.3305965810021943,0.21914903819561005,0.5167237222194672,0.3005393068944032,1.3449196815490723,0.001
20,0.18013048810618265,0.4177605722631727,0.3630409839093165,0.22113461792469025,0.5119467228651047,0.2957457844473652,1.3226149082183838,0.001
21,0.20324076073510305,0.49543888228280203,0.34397658360690947,0.2801160141825676,0.694642573595047,0.22612887899223746,1.423551082611084,0.001
22,0.20208934162344253,0.49137708118983675,0.3166247423560772,0.2380063533782959,0.5618180632591248,0.26206113880652454,1.3079073429107666,0.001
23,0.17578302110944474,0.40176975301333834,0.33162931486068514,0.2349117547273636,0.5576777756214142,0.24977879963149735,1.3382091522216797,0.001
24,0.17143567119325911,0.38810313599450247,0.348600607621304,0.2264772206544876,0.5405832380056381,0.2845236401186892,1.346372365951538,0.001
25,0.15250757123742784,0.3377442743097033,0.3915228817052413,0.21300312876701355,0.49198950827121735,0.33362423818320186,1.3189246654510498,0.001
26,0.15620499210698263,0.34424805641174316,0.42984594741273613,0.2025098279118538,0.46526476740837097,0.37826514050545634,1.326659917831421,0.001
27,0.14782133272715978,0.32259267568588257,0.441133058358581,0.20736804232001305,0.47788743674755096,0.40462040635085084,1.3510327339172363,0.001
28,0.14669670271021978,0.3195275068283081,0.4695665323545261,0.19503911957144737,0.4403623789548874,0.4173150462213072,1.3177070617675781,0.001
29,0.13949647971561976,0.3002878895827702,0.4792354428504441,0.19353915005922318,0.4557119160890579,0.4385216343329962,1.333033800125122,0.001
30,0.1396927141717502,0.3009252037320818,0.498630471408689,0.18835985660552979,0.42747633159160614,0.39916461526847347,1.3582096099853516,0.001
31,0.13715643009969167,0.299867502280644,0.4942156467633985,0.19821296632289886,0.4476185441017151,0.39630982381807567,1.3122448921203613,0.001
32,0.15002490154334477,0.33005387016705107,0.49096957577423833,0.1858465112745762,0.4172202795743942,0.4243699635505884,1.3226404190063477,0.001
33,0.13697637830461776,0.2952047288417816,0.49647033201069146,0.19083281978964806,0.4308396279811859,0.4448959588568331,1.3382232189178467,0.001
34,0.13856326788663864,0.30016286032540457,0.5177589194920803,0.1826651580631733,0.4101397320628166,0.43466272993545263,1.3125755786895752,0.001
35,0.13371441939047404,0.28654261359146665,0.5141434432579425,0.19252821058034897,0.45395123958587646,0.43950492350440573,1.3177316188812256,0.001
36,0.13063088485172816,0.28059939188616617,0.534122377408292,0.18430349975824356,0.4115510657429695,0.44232127672991817,1.3222880363464355,0.001
37,0.13625373478446687,0.29161626526287626,0.5234736283287731,0.17948895692825317,0.4003068804740906,0.4466596170685212,1.32596755027771,0.001
38,0.12773336683000838,0.2750454161848341,0.533242594889862,0.18759799748659134,0.4244914799928665,0.4472114462711172,1.3322644233703613,0.001
39,0.12910573610237666,0.27566069151674,0.5408770188786045,0.18332168087363243,0.41279107332229614,0.44880004604755086,1.342104196548462,0.001
40,0.12965034693479538,0.28190758185727255,0.5410663487484993,0.18379678577184677,0.4113353416323662,0.46907914932254136,1.3095943927764893,0.001
41,0.12499103056532997,0.2671467108385904,0.5428517770509609,0.18455355614423752,0.42073655128479004,0.4379289356171414,1.331596851348877,0.001
42,0.12789382679121836,0.2764935152871268,0.542355618887312,0.17833628505468369,0.39913395047187805,0.44196715890725263,1.3448190689086914,0.001
43,0.1347334874527795,0.2886735498905182,0.5399212647264824,0.18450502678751945,0.41406556963920593,0.45971262476986285,1.333404541015625,0.001
44,0.1258863104241235,0.2691273497683661,0.547413852853772,0.17517543956637383,0.3895660638809204,0.45602577177460374,1.3200831413269043,0.001
45,0.12134491013629096,0.25914351642131805,0.5600531279416893,0.1760503128170967,0.3913852870464325,0.4662081518731186,1.3566734790802002,0.001
46,0.12586368513958796,0.2661276161670685,0.5605440568645567,0.18865899741649628,0.4418376535177231,0.45796328036167877,1.3222501277923584,0.001
